2025-09-07 14:33:22,480 - INFO - Database connection established
2025-09-07 14:33:22,800 - INFO - uk_absence_data table already exists
2025-09-07 14:33:22,959 - INFO - Starting data upload for Wales schools...
2025-09-07 14:33:22,969 - INFO - Found 1464 schools in CSV file
2025-09-07 14:34:04,304 - INFO - [127/1464] Updated: YSGOL EIFIONYDD - Lit: None, Math: None, Sci: None
2025-09-07 14:34:04,622 - INFO - [128/1464] Updated: Ysgol Y Moelwyn - Lit: None, Math: None, Sci: None
2025-09-07 14:34:04,942 - INFO - [129/1464] Updated: YSGOL UWCHRADD TYWYN - Lit: None, Math: None, Sci: None
2025-09-07 14:34:05,261 - INFO - [130/1464] Updated: Ysgol Ardudwy - Lit: None, Math: None, Sci: None
2025-09-07 14:34:05,580 - INFO - [131/1464] Updated: Ysgol Friars - Lit: None, Math: None, Sci: None
2025-09-07 14:34:05,899 - INFO - [132/1464] Updated: Ysgol Tryfan - Lit: None, Math: None, Sci: None
2025-09-07 14:34:06,217 - INFO - [133/1464] Updated: Ysgol Syr Hugh Owen - Lit: None, Math: None, Sci: None
2025-09-07 14:34:06,537 - INFO - [134/1464] Updated: Ysgol Glan y Mor - Lit: None, Math: None, Sci: None
2025-09-07 14:34:06,855 - INFO - [135/1464] Updated: Bro Idris - Lit: None, Math: None, Sci: None
2025-09-07 14:34:07,176 - INFO - [136/1464] Updated: YSGOL Godre'r Berwyn - Lit: None, Math: None, Sci: None
2025-09-07 14:34:07,494 - INFO - [137/1464] Updated: Ysgol Pendalar - Lit: None, Math: None, Sci: None
2025-09-07 14:34:07,816 - INFO - [138/1464] Updated: Ysgol Hafod Lon - Lit: None, Math: None, Sci: None
2025-09-07 14:34:08,137 - INFO - [139/1464] Updated: Ysgol Betws y Coed - Lit: None, Math: None, Sci: None
2025-09-07 14:34:08,459 - INFO - [140/1464] Updated: Ysgol Capelulo - Lit: None, Math: None, Sci: None
2025-09-07 14:34:08,780 - INFO - [141/1464] Updated: Ysgol Deganwy - Lit: None, Math: None, Sci: None
2025-09-07 14:34:09,101 - INFO - [142/1464] Updated: Ysgol Dolwyddelan - Lit: None, Math: None, Sci: None
2025-09-07 14:34:09,422 - INFO - [143/1464] Updated: Ysgol Ffordd Dyffryn - Lit: None, Math: None, Sci: None
2025-09-07 14:34:09,743 - INFO - [144/1464] Updated: Ysgol Glanwydden - Lit: None, Math: None, Sci: None
2025-09-07 14:34:10,065 - INFO - [145/1464] Updated: Ysgol Tudno - Lit: None, Math: None, Sci: None
2025-09-07 14:34:10,388 - INFO - [146/1464] Updated: Ysgol Morfa Rhianedd - Lit: None, Math: None, Sci: None
2025-09-07 14:34:10,709 - INFO - [147/1464] Updated: Ysgol Penmachno - Lit: None, Math: None, Sci: None
2025-09-07 14:34:11,030 - INFO - [148/1464] Updated: Ysgol Llandrillo yn Rhos - Lit: None, Math: None, Sci: None
2025-09-07 14:34:11,351 - INFO - [149/1464] Updated: Ysgol Talhaiarn - Lit: None, Math: None, Sci: None
2025-09-07 14:34:11,673 - INFO - [150/1464] Updated: Ysgol Babanod Mochdre - Lit: None, Math: None, Sci: None
2025-09-07 14:34:11,834 - INFO - Committed batch. Progress: 150/1464
2025-09-07 14:34:12,316 - INFO - [151/1464] Updated: Ysgol  T. Gwynn Jones - Lit: None, Math: None, Sci: None
2025-09-07 14:34:12,640 - INFO - [152/1464] Updated: Ysgol Maes Owen - Lit: None, Math: None, Sci: None
2025-09-07 14:34:12,961 - INFO - [153/1464] Updated: Ysgol Glan Gele - Lit: None, Math: None, Sci: None
2025-09-07 14:34:13,282 - INFO - [154/1464] Updated: Ysgol Glan Morfa - Lit: None, Math: None, Sci: None
2025-09-07 14:34:13,603 - INFO - [155/1464] Updated: Ysgol Bod Alaw - Lit: None, Math: None, Sci: None
2025-09-07 14:34:13,924 - INFO - [156/1464] Updated: Ysgol Pant y Rhedyn - Lit: None, Math: None, Sci: None
2025-09-07 14:34:14,247 - INFO - [157/1464] Updated: Ysgol Y Foryd - Lit: None, Math: None, Sci: None
2025-09-07 14:34:14,568 - INFO - [158/1464] Updated: Ysgol Craig y Don - Lit: None, Math: None, Sci: None
2025-09-07 14:34:14,889 - INFO - [159/1464] Updated: Ysgol Cerrigydrudion - Lit: None, Math: None, Sci: None
2025-09-07 14:34:15,220 - INFO - [160/1464] Updated: Ysgol Bro Aled, Llansannan - Lit: None, Math: None, Sci: None
2025-09-07 14:34:15,541 - INFO - [161/1464] Updated: Ysgol Gynradd Bro Cernyw - Lit: None, Math: None, Sci: None
2025-09-07 14:34:15,862 - INFO - [162/1464] Updated: Ysgol Sant Elfod - Lit: None, Math: None, Sci: None
2025-09-07 14:34:16,184 - INFO - [163/1464] Updated: Ysgol Capel Garmon - Lit: None, Math: None, Sci: None
2025-09-07 14:34:16,505 - INFO - [164/1464] Updated: Ysgol Glan Conwy - Lit: None, Math: None, Sci: None
2025-09-07 14:34:16,826 - INFO - [165/1464] Updated: Ysgol Cynfran - Lit: None, Math: None, Sci: None
2025-09-07 14:34:17,147 - INFO - [166/1464] Updated: Ysgol Iau Hen Golwyn - Lit: None, Math: None, Sci: None
2025-09-07 14:34:17,468 - INFO - [167/1464] Updated: Ysgol Cystennin - Lit: None, Math: None, Sci: None
2025-09-07 14:34:17,790 - INFO - [168/1464] Updated: Ysgol Pentrefoelas - Lit: None, Math: None, Sci: None
2025-09-07 14:34:18,112 - INFO - [169/1464] Updated: Ysgol Bro Gwydir - Lit: None, Math: None, Sci: None
2025-09-07 14:34:18,434 - INFO - [170/1464] Updated: Ysgol Nant Y Groes - Lit: None, Math: None, Sci: None
2025-09-07 14:34:18,755 - INFO - [171/1464] Updated: Ysgol Swn Y Don - Lit: None, Math: None, Sci: None
2025-09-07 14:34:19,076 - INFO - [172/1464] Updated: Ysgol Awel y Mynydd - Lit: None, Math: None, Sci: None
2025-09-07 14:34:19,397 - INFO - [173/1464] Updated: Ysgol Dyffryn Yr Enfys - Lit: None, Math: None, Sci: None
2025-09-07 14:34:19,725 - INFO - [174/1464] Updated: Ysgol Babanod Llanfairfechan - Lit: None, Math: None, Sci: None
2025-09-07 14:34:20,047 - INFO - [175/1464] Updated: Ysgol Llangelynnin - Lit: None, Math: None, Sci: None
