Local Authority,SeedCode,School Name,School Type,Teachers (Full Time Equivalent) [Note 1],Pupil roll,Pupil Teacher Ratio,Average class size,Female,Male,P1,P2,P3,P4,P5,P6,P7,S1,S2,S3,S4,S5,S6,Special school pupils,Pupils with an Additional Support Need recorded,Pupils with no Additional Support Needs recorded,Pupils with English as an Additional Language [Note 2],Pupils without English as an Additional Language [Note 2],Pupils taught in Gaelic [Note 3],Pupils with no Gaelic taught [Note 3],White - British [Note 4],White - Other [Note 4],Minority Ethnic [Note 4],Not known/not disclosed [Note 4],P1-P5 pupils registered for free school meals [Note 5],Percentage of P1-P5 pupils registered for free school meals [Note 5],P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],Percentage of P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],SIMD Quintile 1 [Note 6],SIMD Quintile 2 [Note 6],SIMD Quintile 3 [Note 6],SIMD Quintile 4 [Note 6],SIMD Quintile 5 [Note 6],SIMD not availble [Note 6],Urban [Note 7],Small town [Note 7],Rural [Note 7],Urban/rural classification not available [Note 7],Attendance rate (%)[Note 8] [Note 9],Authorised absence rate (%) [Note 8] [Note 9],Unauthorised absence rate (%)[Note 8] [Note 9],Absence due to temporary exclusion rate (%) [Note 8] [Note 9],School's 6-fold urban/rural classification,School's 8-fold urban/rural classification,Denomination of school,,
Aberdeen City,5242428,Tullos School,Primary,20.5,233,11.4,19.4,112,121,23,31,42,38,32,28,39,z,z,z,z,z,z,z,90,143,68,165,0,233,149,45,35,C,166,100,27,40.3,164,62,C,5,0,C,90-100%,0-10%,0-10%,0-10%,86.0,10.3,3.7,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5230624,Westpark School,Primary,14.0,202,14.4,20.2,98,104,20,30,31,28,32,33,28,z,z,z,z,z,z,z,119,83,5,197,0,202,167,19,15,C,141,100,18,29.5,17,160,15,5,5,0,90-100%,0-10%,0-10%,0-10%,91.1,6.5,2.4,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5243122,Woodside School,Primary,19.3,294,15.2,24.5,144,150,49,48,47,35,41,38,36,z,z,z,z,z,z,z,108,186,66,228,0,294,136,54,100,C,220,100,18,24.3,73,152,48,7,14,0,90-100%,0-10%,0-10%,0-10%,90.8,7.2,2.0,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5244439,Aberdeen Grammar School,Secondary,101.2,1310,12.9,0,628,682,z,z,z,z,z,z,z,264,272,223,209,195,147,z,530,780,254,1056,0,1310,594,175,496,45,z,z,102,7.8,41,144,261,195,669,0,90-100%,0-10%,0-10%,0-10%,92.7,5.8,1.5,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5235634,Bridge of Don Academy,Secondary,62.7,790,12.6,0,375,415,z,z,z,z,z,z,z,152,149,150,150,126,63,z,457,333,167,623,0,790,465,178,136,11,z,z,103,13,64,127,82,220,297,0,60-70%,0-10%,30-40%,0-10%,89.9,7.2,2.8,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5234034,Bucksburn Academy,Secondary,85.6,938,11,0,445,493,z,z,z,z,z,z,z,189,164,173,165,158,89,z,526,412,151,787,0,938,633,132,161,12,z,z,123,13.1,47,124,219,147,401,0,60-70%,20-30%,0-10%,0-10%,91.2,5.9,2.9,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5235839,Cults Academy,Secondary,95.8,1316,13.7,0,639,677,z,z,z,z,z,z,z,240,240,234,237,191,174,z,343,973,124,1192,0,1316,770,131,405,10,z,z,78,5.9,C,16,150,192,955,C,80-90%,0-10%,10-20%,0-10%,92.4,5.7,1.8,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5243335,Dyce Academy,Secondary,56.8,679,12,0,342,337,z,z,z,z,z,z,z,123,135,134,127,108,52,z,252,427,54,625,0,679,522,75,70,12,z,z,97,14.3,27,34,208,190,220,0,60-70%,0-10%,30-40%,0-10%,90.4,6.5,3.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5243238,Harlaw Academy,Secondary,88.7,1161,13.1,0,592,569,z,z,z,z,z,z,z,239,211,211,201,172,127,z,658,503,249,912,0,1161,556,225,328,52,z,z,163,14,66,378,218,123,376,0,90-100%,0-10%,0-10%,0-10%,89.2,8.6,2.2,0.1,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5243432,Hazlehead Academy,Secondary,80.0,1097,13.7,0,543,554,z,z,z,z,z,z,z,240,200,207,201,164,85,z,397,700,160,937,0,1097,751,124,200,22,z,z,154,14,76,423,148,69,381,0,80-90%,0-10%,10-20%,0-10%,88.0,7.1,4.7,0.1,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,1004166,Lochside Academy,Secondary,96.8,1219,12.6,0,628,591,z,z,z,z,z,z,z,242,215,249,214,202,97,z,652,567,240,979,0,1219,832,209,166,12,z,z,272,22.3,306,233,215,283,182,0,90-100%,0-10%,0-10%,0-10%,87.4,8.9,3.8,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5244234,Northfield Academy,Secondary,56.4,723,12.8,0,369,354,z,z,z,z,z,z,z,154,134,126,174,101,34,z,446,277,10,713,0,723,612,67,23,21,z,z,262,36.2,194,440,59,17,13,0,90-100%,0-10%,0-10%,0-10%,82.2,8.9,8.7,0.2,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5246237,Oldmachar Academy,Secondary,65.5,938,14.3,0,471,467,z,z,z,z,z,z,z,172,169,194,185,136,82,z,432,506,114,824,0,938,662,76,194,6,z,z,76,8.1,18,58,23,320,519,0,90-100%,0-10%,0-10%,0-10%,92.8,5.8,1.4,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5246431,St Machar Academy,Secondary,84.6,1038,12.3,0,488,550,z,z,z,z,z,z,z,202,202,207,180,175,72,z,693,345,311,727,0,1038,550,240,240,8,z,z,305,29.4,233,602,55,106,42,0,90-100%,0-10%,0-10%,0-10%,88.5,8.1,3.4,0.1,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5245044,Aberdeen School for the Deaf,Special,6.7,12,1.8,z,C,C,z,z,z,z,z,z,z,z,z,z,z,z,z,12,12,0,C,C,0,12,6,C,C,0,z,z,12,100,C,C,C,C,5,0,80-90%,0-10%,10-20%,0-10%,92.1,7.1,C,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,1004140,Orchard Brae School,Special,32.4,116,3.6,z,C,C,z,z,z,z,z,z,z,z,z,z,z,z,z,116,116,0,9,107,0,116,70,C,37,C,z,z,29,25,13,33,17,27,26,0,80-90%,0-10%,10-20%,0-10%,90.1,7.9,1.9,C,Accessible rural areas,Accessible rural areas,Non-denominational,,
Aberdeenshire,5212227,Aberchirder Primary School,Primary,7.1,113,15.9,22.6,50,63,25,9,15,12,20,19,13,z,z,z,z,z,z,z,74,39,8,105,0,113,108,C,C,0,81,100,6,18.8,0,38,73,C,C,0,0-10%,0-10%,90-100%,0-10%,93.7,4.2,2.1,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
