School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6612097,Ysgol Rhiwlas,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhiwlas,Bangor,Gwynedd,,LL57 4EH,01248352483,34,,,,,,,,,,
6612098,Ysgol Gynradd Rhosgadfan,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosgadfan,Caernarfon,Gwynedd,,LL54 7EU,01286830160,45,,,,,,,,,,
6612099,Ysgol Gynradd Rhostryfan,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhostryfan,Caernarfon,Gwynedd,,LL54 7LR,01286830727,80,,,,,,,,,,
6612103,YSGOL SARN BACH,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Sarn Bach,Pwllheli,Gwynedd,,LL53 7LF,01758712714,34,,,,,,,,,,
6612104,Ysgol Eifion Wyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9NU,01766513286,213,,,,,,,,,,
6612108,Ysgol Gynradd Talysarn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,COED MADOG,TALYSARN,Gwynedd,,LL54 6HR,01286880885,98,,,,,,,,,,
6612110,YSGOL Y GORLAN,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tremadog,Porthmadog,Gwynedd,,LL49 9RN,01766512773,115,,,,,,,,,,
6612111,Ysgol yr Eifl,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trefor,Caernarfon,Gwynedd,,LL54 5LU,01286660523,49,,,,,,,,,,
6612112,YSGOL GYNRADD TUDWEILIOG,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tudweiliog,Pwllheli,Gwynedd,,LL53 8ND,01758770669,46,,,,,,,,,,
6612113,Ysgol Waunfawr,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Waunfawr,Caernarfon,Gwynedd,,LL55 4LJ,01286650451,120,,,,,,,,,,
6612116,Ysgol Glancegin,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maesgeirchen,Bangor,Gwynedd,,LL57 1ST,01248353097,219,,,,,,,,,,
6612119,Ysgol Yr Hendre,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 2AT,01286674332,402,,,,,,,,,,
6612122,Ysgol Bontnewydd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bontnewydd,Caernarfon,Gwynedd,,LL55 2UF,01286673880,207,,,,,,,,,,
6612123,Ysgol Gymraeg y Garnedd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Penrhos,Bangor,Gwynedd,,LL57 2LX,01248352534,400,,,,,,,,,,
